Holder,Shares,Date Reported,% Out,Value
"Vanguard Group, Inc. (The)",640172572,2020-03-30,0.08439999999999999,100961616330
Blackrock Inc.,517578906,2020-03-30,0.0683,81627369265
State Street Corporation,314771248,2020-03-30,0.0415,49642573522
"FMR, LLC",237892832,2020-03-30,0.031400000000000004,37518078534
Price (T.Rowe) Associates Inc,172056401,2020-03-30,0.0227,27135015001
Capital World Investors,139116236,2020-03-30,0.0183,21940021579
"Geode Capital Management, LLC",115684966,2020-03-30,0.015300000000000001,18244675987
Capital International Investors,103523946,2020-03-30,0.0137,16326761523
Capital Research Global Investors,93247848,2020-03-30,0.0123,14706118108
Northern Trust Corporation,92119080,2020-03-30,0.0121,14528100106
